City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,aasiaat,68.7098,-52.8699,-7.43,84,21,1.98,GL,1683682793
83,wailua homesteads,22.0669,-159.378,26.44,69,100,7.2,US,1683683072
84,menongue,-14.6585,17.691,13.35,53,0,2.02,AO,1683683072
85,sitka,57.0531,-135.33,11.94,54,0,2.57,US,1683682871
86,thompson,55.7435,-97.8558,17.09,59,75,4.63,CA,1683682837
87,mount isa,-20.7333,139.5,20.87,21,0,6.69,AU,1683683073
88,whitehorse,60.7161,-135.0538,11.68,33,100,6.17,CA,1683682988
89,trinity beach,-16.7888,145.6968,27.25,59,5,7.09,AU,1683682976
90,hit,33.6416,42.8251,23.08,31,0,4.0,IQ,1683683073
91,boende,-0.2167,20.8667,21.69,99,100,1.3,CD,1683683073
92,lompoc,34.6391,-120.4579,16.5,73,75,5.14,US,1683682993
93,port blair,11.6667,92.75,29.25,77,94,9.29,IN,1683682923
94,richards bay,-28.783,32.0377,19.27,84,100,5.6,ZA,1683682943
95,buinsk,54.95,48.2833,5.8,67,99,2.19,RU,1683683074
96,dunedin,-45.8742,170.5036,13.78,61,100,0.89,NZ,1683682896
97,happy valley-goose bay,53.3168,-60.3315,1.17,60,100,9.77,CA,1683683074
98,st. john's,47.5649,-52.7093,4.43,81,75,17.49,CA,1683682795
99,neiafu,-18.65,-173.9833,29.38,74,20,4.63,TO,1683683075
100,changji,44.0167,87.3167,19.44,26,0,3.0,CN,1683683075
101,betio village,1.358,172.9211,31.02,76,85,4.81,KI,1683683075
102,hithadhoo,-0.6,73.0833,27.95,73,84,4.26,MV,1683683075
103,pont rouge,48.8833,-72.0825,9.16,47,21,2.3,CA,1683683075
104,syktyvkar,61.6764,50.8099,6.85,70,0,3.13,RU,1683683076
105,nova sintra,14.8667,-24.7167,20.39,80,2,6.04,CV,1683683076
106,stanley,54.868,-1.6985,8.27,94,9,2.57,GB,1683682833
107,saint-philippe,-21.3585,55.7679,21.77,83,38,4.13,RE,1683683076
108,nagqu,31.5,92.0,0.16,50,100,6.58,CN,1683683076
109,brixham,50.3943,-3.5159,11.57,88,90,2.68,GB,1683683076
110,chibuto,-24.6867,33.5306,16.6,97,22,1.87,MZ,1683683077
111,revda,56.801,59.9303,4.31,43,14,0.31,RU,1683683077
112,gaigeturi,33.4644,126.3183,19.03,63,0,2.57,KR,1683683077
113,erdenet,49.0333,104.0833,10.26,51,88,6.48,MN,1683683077
114,yoloten,37.2989,62.3597,23.16,19,11,4.7,TM,1683683077
115,qarazhal,48.0078,70.7903,20.0,24,95,3.63,KZ,1683682888
116,college,64.8569,-147.8028,13.18,33,75,3.09,US,1683682973
117,bredasdorp,-34.5322,20.0403,13.49,89,98,1.55,ZA,1683682822
118,coquimbo,-29.9533,-71.3436,12.85,100,100,1.54,CL,1683682583
119,quadrivio,45.0297,9.2223,14.23,92,100,5.31,IT,1683683078
120,anadyr,64.75,177.4833,-0.72,80,0,2.68,RU,1683682980
121,darwin,-12.4611,130.8418,27.16,34,0,7.2,AU,1683683079
122,port mathurin,-19.6833,63.4167,25.34,75,7,5.97,MU,1683683007
123,fale old settlement,-9.3852,-171.2468,29.08,75,84,6.66,TK,1683682858
124,acarau,-2.8856,-40.12,25.48,86,18,3.03,BR,1683682837
125,nuku'alofa,-21.1333,-175.2,27.19,89,40,2.06,TO,1683683002
126,jawhar,2.7809,45.5005,24.47,88,88,4.34,SO,1683683033
127,greystones,53.1408,-6.0631,12.16,88,100,4.44,IE,1683683080
128,malkapur,20.8833,76.2,34.26,14,12,1.61,IN,1683683080
129,port lincoln,-34.7333,135.8667,16.43,66,17,4.85,AU,1683682830
130,kutum,14.2,24.6667,23.69,16,100,3.21,SD,1683683080
131,manga,11.6636,-1.0731,32.2,34,39,3.25,BF,1683683080
132,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,43,40,5.0,RU,1683683049
